scenario,path,request_num,latency_ms,success,useful,quality_score,tier
garbage,naive,1,0,1,0,0.410,naive
garbage,naive,2,0,1,0,0.270,naive
garbage,naive,3,0,1,0,0.270,naive
garbage,naive,4,0,1,0,0.410,naive
garbage,naive,5,0,1,0,0.270,naive
garbage,naive,6,0,1,0,0.270,naive
garbage,naive,7,0,1,0,0.270,naive
garbage,naive,8,0,1,0,0.270,naive
garbage,naive,9,0,1,0,0.270,naive
garbage,naive,10,0,1,0,0.410,naive
garbage,naive,11,0,1,0,0.270,naive
garbage,naive,12,0,1,0,0.270,naive
garbage,naive,13,0,1,0,0.410,naive
garbage,naive,14,0,1,0,0.270,naive
garbage,naive,15,0,1,0,0.270,naive
garbage,naive,16,0,1,0,0.270,naive
garbage,naive,17,0,1,0,0.270,naive
garbage,naive,18,0,1,0,0.270,naive
garbage,naive,19,0,1,0,0.410,naive
garbage,naive,20,0,1,0,0.270,naive
garbage,naive,21,0,1,0,0.410,naive
garbage,naive,22,0,1,0,0.270,naive
garbage,naive,23,0,1,0,0.270,naive
garbage,naive,24,0,1,0,0.270,naive
garbage,naive,25,0,1,0,0.270,naive
garbage,naive,26,0,1,0,0.270,naive
garbage,naive,27,0,1,0,0.270,naive
garbage,naive,28,0,1,0,0.410,naive
garbage,naive,29,0,1,0,0.270,naive
garbage,naive,30,0,1,0,0.270,naive
garbage,naive,31,0,1,0,0.410,naive
garbage,naive,32,0,1,0,0.270,naive
garbage,naive,33,0,1,0,0.270,naive
garbage,naive,34,0,1,0,0.410,naive
garbage,naive,35,0,1,0,0.270,naive
garbage,naive,36,0,1,0,0.410,naive
garbage,naive,37,0,1,0,0.270,naive
garbage,naive,38,0,1,0,0.270,naive
garbage,naive,39,0,1,0,0.270,naive
garbage,naive,40,0,1,0,0.270,naive
garbage,naive,41,0,1,0,0.270,naive
garbage,naive,42,0,1,0,0.270,naive
garbage,naive,43,0,1,0,0.270,naive
garbage,naive,44,0,1,0,0.410,naive
garbage,naive,45,0,1,0,0.410,naive
garbage,naive,46,0,1,0,0.410,naive
garbage,naive,47,0,1,0,0.410,naive
garbage,naive,48,0,1,0,0.270,naive
garbage,naive,49,0,1,0,0.270,naive
garbage,naive,50,0,1,0,0.270,naive
garbage,agentshield,1,0,1,1,1.000,fallback
garbage,agentshield,2,0,1,1,1.000,fallback
garbage,agentshield,3,0,1,1,1.000,fallback
garbage,agentshield,4,0,1,1,1.000,fallback
garbage,agentshield,5,0,1,1,1.000,fallback
garbage,agentshield,6,0,1,1,1.000,fallback
garbage,agentshield,7,0,1,1,1.000,fallback
garbage,agentshield,8,0,1,1,1.000,fallback
garbage,agentshield,9,0,1,1,1.000,fallback
garbage,agentshield,10,0,1,1,1.000,fallback
garbage,agentshield,11,0,1,1,1.000,fallback
garbage,agentshield,12,0,1,1,1.000,fallback
garbage,agentshield,13,0,1,1,1.000,fallback
garbage,agentshield,14,0,1,1,1.000,fallback
garbage,agentshield,15,0,1,1,1.000,fallback
garbage,agentshield,16,0,1,1,1.000,fallback
garbage,agentshield,17,0,1,1,1.000,fallback
garbage,agentshield,18,0,1,1,1.000,fallback
garbage,agentshield,19,0,1,1,1.000,fallback
garbage,agentshield,20,0,1,1,1.000,fallback
garbage,agentshield,21,0,1,1,1.000,fallback
garbage,agentshield,22,0,1,1,1.000,fallback
garbage,agentshield,23,0,1,1,1.000,fallback
garbage,agentshield,24,0,1,1,1.000,fallback
garbage,agentshield,25,0,1,1,1.000,fallback
garbage,agentshield,26,0,1,1,1.000,fallback
garbage,agentshield,27,0,1,1,1.000,fallback
garbage,agentshield,28,0,1,1,1.000,fallback
garbage,agentshield,29,0,1,1,1.000,fallback
garbage,agentshield,30,0,1,1,1.000,fallback
garbage,agentshield,31,0,1,1,1.000,fallback
garbage,agentshield,32,0,1,1,1.000,fallback
garbage,agentshield,33,0,1,1,1.000,fallback
garbage,agentshield,34,0,1,1,1.000,fallback
garbage,agentshield,35,0,1,1,1.000,fallback
garbage,agentshield,36,0,1,1,1.000,fallback
garbage,agentshield,37,0,1,1,1.000,fallback
garbage,agentshield,38,0,1,1,1.000,fallback
garbage,agentshield,39,0,1,1,1.000,fallback
